dex,species,version,source_location,source_area,source_method,source_stage,source_min,source_max,source_weight,source_conditions,map,terrain,slot,weight,target_stage,min_level,max_level,firered_min_level,firered_max_level,leafgreen_min_level,leafgreen_max_level,original_firered,original_leafgreen
200,MISDREAVUS,crystal,mt-silver,2f,walk,9,45,45,4,time-night,FR_FIVE_ISLAND_LOST_CAVE_ROOM1,land,8,5,9,48,48,48,48,48,48,HAUNTER,HAUNTER
201,UNOWN,crystal,ruins-of-alph,interior-a,walk,0,5,5,30,,FR_MT_MOON_1F,land,1,20,1,7,7,7,7,7,7,ZUBAT,ZUBAT
202,WOBBUFFET,crystal,dark-cave,blackthorn-city-entrance,walk,7,20,20,10,time-night,FR_VICTORY_ROAD_2F,land,6,10,8,34,34,34,34,34,34,ZUBAT,ZUBAT
204,PINECO,crystal,ilex-forest,,headbutt-low,2,10,10,15,,FR_VIRIDIAN_FOREST,land,4,10,0,5,5,5,5,5,5,WEEDLE,WEEDLE
206,DUNSPARCE,crystal,dark-cave,violet-city-entrance,walk,0,4,4,1,"swarm-no,time-day",FR_MT_MOON_1F,land,11,1,1,7,7,7,7,7,7,ZUBAT,ZUBAT
207,GLIGAR,crystal,johto-route-45,,walk,7,24,24,20,time-day,FR_ROUTE_15,land,1,20,4,24,24,24,24,24,24,ODDISH,BELLSPROUT
209,SNUBBULL,crystal,johto-route-34,,walk,2,10,10,30,time-day,FR_ROUTE_1,land,2,20,0,3,3,3,3,3,3,RATTATA,RATTATA
210,GRANBULL,crystal,kanto-route-6,,walk,9,15,15,4,time-day,FR_ROUTE_17,land,9,4,4,22,22,22,22,22,22,RATTATA,RATTATA
211,QWILFISH,crystal,kanto-route-12,,super-rod,9,40,40,10,,FR_ROUTE_19,super,9,4,5,25,35,25,35,25,35,SEADRA,KINGLER
213,SHUCKLE,crystal,dark-cave,violet-city-entrance,rock-smash,3,15,15,10,,FR_DIGLETTS_CAVE_B1F,land,4,10,2,15,15,15,15,15,15,DIGLETT,DIGLETT
214,HERACROSS,crystal,johto-route-33,,headbutt-high,2,10,10,15,,FR_VIRIDIAN_FOREST,land,5,10,0,3,3,3,3,3,3,CATERPIE,CATERPIE
215,SNEASEL,crystal,ice-path,b1f,walk,7,22,22,1,time-night,FR_ROUTE_18,land,11,1,4,22,22,22,22,22,22,RATTATA,RATTATA
216,TEDDIURSA,crystal,dark-cave,violet-city-entrance,walk,0,2,2,5,"swarm-no,time-morning",FR_MT_MOON_B1F,land,9,4,1,5,5,5,5,5,5,PARAS,PARAS
217,URSARING,crystal,dark-cave,blackthorn-city-entrance,walk,7,20,20,10,time-day,FR_VICTORY_ROAD_3F,land,6,10,8,32,32,32,32,32,32,ZUBAT,ZUBAT
218,SLUGMA,crystal,kanto-route-16,,walk,9,29,29,5,time-day,FR_POKEMON_MANSION_1F,land,7,5,5,28,28,28,28,28,28,GRIMER,KOFFING
220,SWINUB,crystal,ice-path,1f,walk,7,21,21,30,time-day,FR_SEAFOAM_ISLANDS_1F,land,1,20,5,27,27,27,27,27,27,PSYDUCK,SLOWPOKE
222,CORSOLA,crystal,union-cave,b2f,good-rod,4,20,20,10,time-day,FR_ROUTE_20,good,4,20,5,5,15,5,15,5,15,MAGIKARP,MAGIKARP
225,DELIBIRD,crystal,ice-path,1f,walk,7,21,21,30,time-night,FR_SEAFOAM_ISLANDS_B1F,land,1,20,5,29,29,29,29,29,29,PSYDUCK,SLOWPOKE
226,MANTINE,crystal,johto-sea-route-41,,surf,4,20,24,10,,FR_ROUTE_19,water,3,5,5,20,30,20,30,20,30,TENTACOOL,TENTACOOL
227,SKARMORY,crystal,johto-route-45,,walk,7,27,27,4,time-day,FR_ROUTE_23,land,9,4,8,32,32,32,32,32,32,SPEAROW,SPEAROW
228,HOUNDOUR,crystal,kanto-route-7,,walk,9,18,18,20,time-night,FR_ROUTE_16,land,2,20,4,18,18,18,18,18,18,DODUO,DODUO
231,PHANPY,crystal,johto-route-46,,walk,0,2,2,5,time-morning,FR_ROUTE_3,land,8,5,1,3,3,3,3,3,3,JIGGLYPUFF,JIGGLYPUFF
232,DONPHAN,crystal,johto-route-45,,walk,7,25,25,10,time-day,FR_ROUTE_23,land,5,10,8,32,32,32,32,32,32,EKANS,SANDSHREW
234,STANTLER,crystal,johto-route-37,,walk,3,14,14,30,time-night,FR_ROUTE_5,land,2,20,2,13,13,13,13,13,13,PIDGEY,PIDGEY
235,SMEARGLE,crystal,ruins-of-alph,outside,walk,4,20,20,5,time-day,FR_ROUTE_5,land,7,5,2,16,16,16,16,16,16,ODDISH,BELLSPROUT
241,MILTANK,crystal,johto-route-38,,walk,3,13,13,4,time-day,FR_ROUTE_25,land,8,5,2,12,12,12,12,12,12,ODDISH,BELLSPROUT
246,LARVITAR,crystal,mt-silver,1f,walk,9,15,15,4,time-day,FR_SEVEN_ISLAND_SEVAULT_CANYON,land,9,4,9,15,15,15,15,15,15,LARVITAR,LARVITAR
247,PUPITAR,crystal,mt-silver,top,walk,9,20,20,1,time-day,FR_SIX_ISLAND_RUIN_VALLEY,land,11,1,9,20,20,20,20,20,20,NATU,NATU
261,POOCHYENA,emerald,hoenn-route-101,,walk,0,2,2,20,,FR_ROUTE_2,land,2,20,0,3,3,3,3,3,3,PIDGEY,PIDGEY
262,MIGHTYENA,emerald,hoenn-route-120,,walk,5,25,25,20,,FR_ROUTE_13,land,1,20,4,24,24,24,24,24,24,ODDISH,BELLSPROUT
263,ZIGZAGOON,emerald,hoenn-route-101,,walk,0,2,2,4,,FR_ROUTE_22,land,9,4,0,5,5,5,5,5,5,RATTATA,RATTATA
264,LINOONE,emerald,hoenn-route-119,,walk,5,25,25,20,,FR_ROUTE_12,land,2,20,4,24,24,24,24,24,24,VENONAT,VENONAT
265,WURMPLE,emerald,hoenn-route-101,,walk,0,2,2,20,,FR_ROUTE_22,land,1,20,0,3,3,3,3,3,3,RATTATA,RATTATA
266,SILCOON,emerald,petalburg-woods,,walk,0,5,5,10,,FR_VIRIDIAN_FOREST,land,6,10,0,3,3,3,3,3,3,WEEDLE,WEEDLE
268,CASCOON,emerald,petalburg-woods,,walk,0,5,5,10,,FR_VIRIDIAN_FOREST,land,7,5,0,5,5,5,5,5,5,METAPOD,KAKUNA
270,LOTAD,emerald,hoenn-route-102,,walk,0,3,3,10,,FR_ROUTE_1,land,3,10,0,3,3,3,3,3,3,PIDGEY,PIDGEY
271,LOMBRE,emerald,hoenn-route-114,,walk,3,16,16,10,,FR_ROUTE_10,land,4,10,3,15,15,15,15,15,15,EKANS,SANDSHREW
273,SEEDOT,emerald,hoenn-route-102,,walk,0,3,3,1,,FR_ROUTE_2,land,11,1,0,5,5,5,5,5,5,CATERPIE,CATERPIE
274,NUZLEAF,emerald,hoenn-route-114,,walk,3,15,15,1,,FR_ROUTE_9,land,11,1,3,14,14,14,14,14,14,RATTATA,RATTATA
276,TAILLOW,emerald,hoenn-route-104,,walk,0,4,4,5,,FR_ROUTE_1,land,7,5,0,3,3,3,3,3,3,PIDGEY,PIDGEY
277,SWELLOW,emerald,hoenn-route-115,,walk,5,25,25,10,,FR_SAFARI_ZONE_CENTER,land,4,10,4,25,25,25,25,25,25,EXEGGCUTE,EXEGGCUTE
278,WINGULL,emerald,hoenn-route-103,,walk,0,2,2,10,,FR_ROUTE_2,land,5,10,0,2,2,2,2,2,2,RATTATA,RATTATA
279,PELIPPER,emerald,hoenn-route-103,,surf,5,25,30,4,,FR_ROUTE_20,water,4,4,5,30,35,30,35,30,35,TENTACOOL,TENTACOOL
280,RALTS,emerald,hoenn-route-102,,walk,0,4,4,4,,FR_ROUTE_22,land,10,4,0,5,5,5,5,5,5,MANKEY,MANKEY
285,SHROOMISH,emerald,petalburg-woods,,walk,0,5,5,10,,FR_VIRIDIAN_FOREST,land,8,5,0,5,5,5,5,5,5,KAKUNA,METAPOD
287,SLAKOTH,emerald,petalburg-woods,,walk,0,5,5,4,,FR_MT_MOON_B1F,land,10,4,1,6,6,6,6,6,6,PARAS,PARAS
290,NINCADA,emerald,hoenn-route-116,,walk,0,6,6,10,,FR_VIRIDIAN_FOREST,land,9,4,0,4,4,4,4,4,4,KAKUNA,METAPOD
293,WHISMUR,emerald,rusturf-tunnel,,walk,0,5,5,5,,FR_MT_MOON_B2F,land,8,5,1,10,10,10,10,10,10,CLEFAIRY,CLEFAIRY
294,LOUDRED,emerald,hoenn-victory-road,1f,walk,8,40,40,10,,FR_VICTORY_ROAD_1F,land,3,10,8,40,40,40,40,40,40,ONIX,ONIX
296,MAKUHITA,emerald,granite-cave,1f,walk,1,6,6,5,,FR_MT_MOON_B1F,land,7,5,1,7,7,7,7,7,7,PARAS,PARAS
297,HARIYAMA,emerald,hoenn-victory-road,1f,walk,8,38,38,5,,FR_VICTORY_ROAD_3F,land,7,5,8,44,44,44,44,44,44,ARBOK,SANDSLASH
299,NOSEPASS,emerald,granite-cave,b2f,rock-smash,3,10,20,30,,FR_ROUTE_4,land,1,20,1,10,10,10,10,10,10,SPEAROW,SPEAROW
300,SKITTY,emerald,hoenn-route-116,,walk,0,7,7,1,,FR_ROUTE_1,land,11,1,0,5,5,5,5,5,5,PIDGEY,PIDGEY
302,SABLEYE,emerald,granite-cave,b1f,walk,1,9,9,1,,FR_MT_MOON_B2F,land,11,1,1,11,11,11,11,11,11,ZUBAT,ZUBAT
303,MAWILE,emerald,hoenn-victory-road,b1f,walk,8,38,38,4,,FR_VICTORY_ROAD_3F,land,9,4,8,44,44,44,44,44,44,MAROWAK,MAROWAK
304,ARON,emerald,granite-cave,1fsmall-room,walk,1,7,7,4,,FR_MT_MOON_1F,land,9,4,1,7,7,7,7,7,7,ZUBAT,ZUBAT
305,LAIRON,emerald,hoenn-victory-road,1f,walk,8,40,40,10,,FR_VICTORY_ROAD_2F,land,3,10,8,42,42,42,42,42,42,PRIMEAPE,PRIMEAPE
309,ELECTRIKE,emerald,hoenn-route-110,,walk,2,12,12,20,,FR_ROUTE_11,land,1,20,3,14,14,14,14,14,14,EKANS,SANDSHREW
310,MANECTRIC,emerald,hoenn-route-118,,walk,5,26,26,10,,FR_ROUTE_13,land,6,10,4,26,26,26,26,26,26,VENONAT,VENONAT
311,PLUSLE,emerald,hoenn-route-110,,walk,2,12,12,1,,FR_ROUTE_24,land,12,1,2,12,12,12,12,12,12,ABRA,ABRA
312,MINUN,emerald,hoenn-route-110,,walk,2,13,13,10,,FR_ROUTE_25,land,3,10,2,13,13,13,13,13,13,PIDGEY,PIDGEY
313,VOLBEAT,emerald,hoenn-route-117,,walk,2,13,13,1,,FR_ROUTE_25,land,12,1,2,13,13,13,13,13,13,ABRA,ABRA
314,ILLUMISE,emerald,hoenn-route-117,,walk,2,13,13,5,,FR_ROUTE_24,land,7,5,2,13,13,13,13,13,13,PIDGEY,PIDGEY
316,GULPIN,emerald,hoenn-route-110,,walk,2,12,12,10,,FR_ROUTE_5,land,4,10,2,12,12,12,12,12,12,MEOWTH,MEOWTH
318,CARVANHA,emerald,hoenn-route-118,,good-rod,5,10,30,20,,FR_ROUTE_12,good,4,20,4,5,15,5,15,5,15,MAGIKARP,MAGIKARP
319,SHARPEDO,emerald,hoenn-route-103,,super-rod,7,30,35,40,,FR_ROUTE_20,super,6,40,5,15,25,15,25,15,25,HORSEA,KRABBY
320,WAILMER,emerald,hoenn-route-103,,good-rod,5,10,30,20,,FR_ROUTE_19,good,4,20,5,5,15,5,15,5,15,MAGIKARP,MAGIKARP
321,WAILORD,emerald,hoenn-route-129,,surf,8,25,30,1,,SEVII_ONE_ISLAND,water,5,1,7,35,40,35,40,35,40,TENTACRUEL,TENTACRUEL
322,NUMEL,emerald,hoenn-route-112,,walk,3,14,14,10,,FR_POKEMON_MANSION_2F,land,6,10,5,28,28,28,28,28,28,RATTATA,RATTATA
324,TORKOAL,emerald,fiery-path,,walk,3,14,14,4,,FR_POKEMON_MANSION_3F,land,10,4,5,26,26,26,26,26,26,RATTATA,RATTATA
325,SPOINK,emerald,jagged-pass,,walk,3,20,20,10,,FR_MT_EMBER_SUMMIT_PATH_1F,land,3,10,7,29,29,29,29,29,29,GEODUDE,GEODUDE
327,SPINDA,emerald,hoenn-route-113,,walk,3,14,14,10,,FR_ROUTE_10,land,6,10,3,14,14,14,14,14,14,VOLTORB,VOLTORB
328,TRAPINCH,emerald,hoenn-route-111,,walk,4,19,19,5,,FR_ROUTE_9,land,7,5,3,17,17,17,17,17,17,SPEAROW,SPEAROW
331,CACNEA,emerald,hoenn-route-111,,walk,4,20,20,4,,FR_ROUTE_10,land,7,5,3,17,17,17,17,17,17,SPEAROW,SPEAROW
333,SWABLU,emerald,hoenn-route-114,,walk,3,15,15,10,,FR_ROUTE_6,land,5,10,2,15,15,15,15,15,15,ODDISH,BELLSPROUT
334,ALTARIA,emerald,sky-pillar,5f,walk,8,38,38,4,,FR_FIVE_ISLAND_MEADOW,land,8,5,9,41,41,41,41,41,41,PSYDUCK,SLOWPOKE
336,SEVIPER,emerald,hoenn-route-114,,walk,3,15,15,4,,FR_ROUTE_9,land,9,4,3,14,14,14,14,14,14,RATTATA,RATTATA
338,SOLROCK,emerald,meteor-falls,,walk,3,14,14,5,,FR_ROCK_TUNNEL_B1F,land,8,5,3,13,13,13,13,13,13,ONIX,ONIX
339,BARBOACH,emerald,hoenn-route-111,,good-rod,5,10,30,20,,FR_ROUTE_13,good,4,20,4,5,15,5,15,5,15,MAGIKARP,MAGIKARP
340,WHISCASH,emerald,hoenn-victory-road,b2f,super-rod,8,30,35,15,,FR_CINNABAR_ISLAND,super,9,4,5,25,35,25,35,25,35,SEADRA,SLOWBRO
341,CORPHISH,emerald,hoenn-route-102,,good-rod,5,10,30,20,,FR_ROUTE_6,good,4,20,4,5,15,5,15,5,15,MAGIKARP,MAGIKARP
343,BALTOY,emerald,hoenn-route-111,,walk,4,19,19,10,,FR_ROUTE_9,land,4,10,3,15,15,15,15,15,15,EKANS,SANDSHREW
344,CLAYDOL,emerald,sky-pillar,1f,walk,8,36,36,10,,FR_SEVEN_ISLAND_SEVAULT_CANYON_ENTRANCE,land,6,10,9,41,41,41,41,41,41,MEOWTH,MEOWTH
349,FEEBAS,emerald,hoenn-route-119,,feebas-tile-fishing,5,20,25,50,,FR_ROUTE_13,good,3,60,4,5,15,5,15,5,15,HORSEA,KRABBY
352,KECLEON,emerald,hoenn-route-118,,walk,5,25,25,1,,FR_ROUTE_12,land,11,1,4,23,23,23,23,23,23,PIDGEY,PIDGEY
353,SHUPPET,emerald,mt-pyre,1f,walk,6,22,22,5,,FR_POKEMON_TOWER_6F,land,7,5,4,21,21,21,21,21,21,HAUNTER,HAUNTER
354,BANETTE,emerald,sky-pillar,1f,walk,8,37,37,10,,FR_FIVE_ISLAND_LOST_CAVE_ROOM10,land,5,10,9,41,41,41,41,41,41,GOLBAT,GOLBAT
355,DUSKULL,emerald,mt-pyre,4f,walk,6,25,25,1,,FR_POKEMON_TOWER_7F,land,12,1,4,25,25,25,25,25,25,HAUNTER,HAUNTER
357,TROPIUS,emerald,hoenn-route-119,,walk,5,25,25,4,,FR_ROUTE_13,land,8,5,4,25,25,25,25,25,25,DITTO,DITTO
358,CHIMECHO,emerald,mt-pyre,summit,walk,6,28,28,1,,FR_POKEMON_TOWER_6F,land,12,1,4,23,23,23,23,23,23,HAUNTER,HAUNTER
359,ABSOL,emerald,hoenn-route-120,,walk,5,25,25,4,,FR_ROUTE_12,land,9,4,4,23,23,23,23,23,23,PIDGEY,PIDGEY
360,WYNAUT,emerald,hoenn-route-130,,walk,8,5,5,4,,FR_ROUTE_2,land,9,4,0,4,4,4,4,4,4,CATERPIE,CATERPIE
361,SNORUNT,emerald,shoal-cave,b3f,walk,7,26,26,5,,FR_SEAFOAM_ISLANDS_B2F,land,7,5,5,26,26,26,26,26,26,GOLBAT,GOLBAT
363,SPHEAL,emerald,shoal-cave,high-tide,surf,7,25,30,5,,FR_ROUTE_6,water,3,5,5,25,30,25,30,25,30,PSYDUCK,SLOWPOKE
366,CLAMPERL,emerald,hoenn-route-124,underwater,seaweed,7,20,30,60,,SEVII_ONE_ISLAND,water,1,60,7,5,20,5,20,5,20,TENTACOOL,TENTACOOL
369,RELICANTH,emerald,hoenn-route-124,underwater,seaweed,7,30,35,4,,FR_ROUTE_19,water,4,4,5,30,35,30,35,30,35,TENTACOOL,TENTACOOL
370,LUVDISC,emerald,hoenn-route-128,,good-rod,7,10,30,20,,FR_ROUTE_20,good,5,20,5,5,15,5,15,5,15,KRABBY,HORSEA
371,BAGON,emerald,meteor-falls,backsmall-room,walk,8,25,25,5,,FR_VICTORY_ROAD_1F,land,6,10,8,32,32,32,32,32,32,ZUBAT,ZUBAT
396,STARLY,platinum,lake-verity,before-galactic-intervention,walk,0,2,2,20,,FR_ROUTE_22,land,2,20,0,3,3,3,3,3,3,MANKEY,MANKEY
397,STARAVIA,platinum,lake-valor,,walk,0,38,38,20,,FR_SAFARI_ZONE_WEST,land,1,20,4,26,26,26,26,26,26,DODUO,DODUO
399,BIDOOF,platinum,lake-verity,before-galactic-intervention,walk,0,2,2,20,,FR_ROUTE_1,land,5,10,0,2,2,2,2,2,2,PIDGEY,PIDGEY
400,BIBAREL,platinum,lake-valor,,walk,0,39,39,20,,FR_SAFARI_ZONE_CENTER,land,1,20,4,25,25,25,25,25,25,RHYHORN,RHYHORN
401,KRICKETOT,platinum,sinnoh-route-201,,walk,0,3,3,10,time-night,FR_ROUTE_2,land,3,10,0,4,4,4,4,4,4,RATTATA,RATTATA
402,KRICKETUNE,platinum,sinnoh-route-206,,walk,1,17,17,10,time-morning,FR_ROUTE_22,land,3,10,0,4,4,4,4,4,4,RATTATA,RATTATA
403,SHINX,platinum,sinnoh-route-202,,walk,0,3,3,20,swarm-no,FR_ROUTE_1,land,4,10,0,3,3,3,3,3,3,RATTATA,RATTATA
404,LUXIO,platinum,sinnoh-route-222,,walk,4,38,38,5,,FR_SAFARI_ZONE_NORTH,land,8,5,4,32,32,32,32,32,32,VENOMOTH,VENOMOTH
406,BUDEW,platinum,sinnoh-route-204,south-towards-jubilife-city,walk,1,3,3,10,time-day,FR_ROUTE_2,land,4,10,0,4,4,4,4,4,4,PIDGEY,PIDGEY
417,PACHIRISU,platinum,sinnoh-route-205,south-towards-floaroma-town,walk,1,9,9,5,,FR_ROUTE_22,land,8,5,0,5,5,5,5,5,5,SPEAROW,SPEAROW
418,BUIZEL,platinum,sinnoh-route-205,south-towards-floaroma-town,walk,1,10,10,10,,FR_ROUTE_22,land,4,10,0,4,4,4,4,4,4,MANKEY,MANKEY
419,FLOATZEL,platinum,sinnoh-route-221,,walk,4,28,28,10,time-night,FR_SAFARI_ZONE_WEST,land,4,10,4,27,27,27,27,27,27,EXEGGCUTE,EXEGGCUTE
422,SHELLOS,platinum,sinnoh-route-205,south-towards-floaroma-town,walk,1,9,9,10,,FR_ROUTE_1,land,6,10,0,2,2,2,2,2,2,RATTATA,RATTATA
423,GASTRODON,platinum,sinnoh-route-218,,walk,4,28,28,20,swarm-no,FR_SAFARI_ZONE_EAST,land,2,20,4,26,26,26,26,26,26,DODUO,DODUO
427,BUNEARY,platinum,eterna-forest,,walk,2,11,11,20,swarm-no,FR_THREE_ISLAND_BERRY_FOREST,land,1,20,7,37,37,37,37,37,37,PIDGEOTTO,PIDGEOTTO
433,CHINGLING,platinum,sinnoh-route-211,west-towards-eterna-city,walk,3,14,14,10,radar-off,FR_ROUTE_25,land,4,10,2,14,14,14,14,14,14,ODDISH,BELLSPROUT
436,BRONZOR,platinum,wayward-cave,1f,walk,2,18,18,20,,FR_ROUTE_5,land,1,20,2,10,10,10,10,10,10,MEOWTH,MEOWTH
437,BRONZONG,platinum,mt-coronet,2f,walk,4,37,37,20,,FR_SAFARI_ZONE_NORTH,land,2,20,4,30,30,30,30,30,30,NIDORAN_M,NIDORAN_F
438,BONSLY,platinum,trophy-garden,,walk,3,22,22,5,"story-progress-national-dex,backlot-mentioned",FR_ROUTE_11,land,8,5,3,17,17,17,17,17,17,SPEAROW,SPEAROW
439,MIME_JR,platinum,trophy-garden,,walk,3,22,22,5,"story-progress-national-dex,backlot-mentioned",FR_ROUTE_24,land,8,5,2,14,14,14,14,14,14,ODDISH,BELLSPROUT
440,HAPPINY,platinum,trophy-garden,,walk,3,22,22,5,"story-progress-national-dex,backlot-mentioned",FR_ROUTE_5,land,8,5,2,16,16,16,16,16,16,PIDGEY,PIDGEY
441,CHATOT,platinum,sinnoh-route-213,,walk,3,23,23,10,time-morning,FR_ROUTE_11,land,4,10,3,13,13,13,13,13,13,SPEAROW,SPEAROW
443,GIBLE,platinum,wayward-cave,b1f,walk,2,17,17,10,,FR_ROCK_TUNNEL_1F,land,4,10,3,17,17,17,17,17,17,GEODUDE,GEODUDE
444,GABITE,platinum,sinnoh-victory-road,1f,walk,9,41,41,4,,FR_CERULEAN_CAVE_1F,land,3,10,9,46,46,46,46,46,46,GOLBAT,GOLBAT
449,HIPPOPOTAS,platinum,ruin-maniac-cave,0-9-different-unown-caught,walk,6,22,22,4,,FR_VICTORY_ROAD_1F,land,9,4,8,44,44,44,44,44,44,MAROWAK,MAROWAK
450,HIPPOWDON,platinum,sinnoh-route-228,,walk,4,50,50,10,time-morning,FR_SAFARI_ZONE_EAST,land,6,10,4,33,33,33,33,33,33,NIDORINO,NIDORINA
451,SKORUPI,platinum,great-marsh,area-5,walk,3,27,27,5,great-marsh-daily-slot-5-of-32,FR_ROUTE_14,land,7,5,4,26,26,26,26,26,26,ODDISH,BELLSPROUT
452,DRAPION,platinum,great-marsh,area-5,walk,3,27,27,5,"great-marsh-daily-slot-2-of-32,story-progress-national-dex",FR_ROUTE_17,land,7,5,4,28,28,28,28,28,28,DODUO,DODUO
453,CROAGUNK,platinum,sinnoh-route-212,east-towards-pastoria-city,walk,3,24,24,5,,FR_ROUTE_11,land,7,5,3,15,15,15,15,15,15,EKANS,SANDSHREW
454,TOXICROAK,platinum,great-marsh,area-5,walk,3,27,27,5,"great-marsh-daily-slot-1-of-32,story-progress-national-dex",FR_ROUTE_18,land,7,5,4,28,28,28,28,28,28,DODUO,DODUO
455,CARNIVINE,platinum,great-marsh,area-5,walk,3,27,27,5,great-marsh-daily-slot-3-of-32,FR_ROUTE_15,land,7,5,4,26,26,26,26,26,26,ODDISH,BELLSPROUT
456,FINNEON,platinum,canalave-city,,good-rod,5,10,25,4,,FR_FUCHSIA_CITY,good,4,20,4,5,15,5,15,5,15,MAGIKARP,MAGIKARP
457,LUMINEON,platinum,sinnoh-route-219,,good-rod,5,25,35,4,,FR_CERULEAN_CITY,good,4,20,4,5,15,5,15,5,15,MAGIKARP,MAGIKARP
458,MANTYKE,platinum,sinnoh-sea-route-223,,surf,5,30,40,5,,FR_THREE_ISLAND_BOND_BRIDGE,water,3,5,7,35,40,35,40,35,40,TENTACOOL,TENTACOOL
459,SNOVER,platinum,lake-acuity,,walk,0,38,38,20,,FR_SAFARI_ZONE_NORTH,land,1,20,4,26,26,26,26,26,26,RHYHORN,RHYHORN
460,ABOMASNOW,platinum,mt-coronet,exterior-snowfall,walk,4,38,38,20,,FR_ROUTE_23,land,2,20,8,40,40,40,40,40,40,FEAROW,FEAROW
