dex,species,reason
152,CHIKORITA,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
189,JUMPLUFF,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
192,SUNFLORA,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
196,ESPEON,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
197,UMBREON,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
199,SLOWKING,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
203,GIRAFARIG,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
205,FORRETRESS,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
208,STEELIX,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
212,SCIZOR,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
219,MAGCARGO,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
221,PILOSWINE,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
223,REMORAID,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
224,OCTILLERY,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
229,HOUNDOOM,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
230,KINGDRA,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
233,PORYGON2,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
236,TYROGUE,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
237,HITMONTOP,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
238,SMOOCHUM,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
239,ELEKID,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
240,MAGBY,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
242,BLISSEY,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
243,RAIKOU,legendary/mythical; unchanged
244,ENTEI,legendary/mythical; unchanged
245,SUICUNE,legendary/mythical; unchanged
248,TYRANITAR,no ordinary wild encounter in Crystal; evolution/gift/trade/version-exclusive not added
249,LUGIA,legendary/mythical; unchanged
250,HO_OH,legendary/mythical; unchanged
251,CELEBI,legendary/mythical; unchanged
252,TREECKO,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
253,GROVYLE,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
254,SCEPTILE,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
255,TORCHIC,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
256,COMBUSKEN,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
257,BLAZIKEN,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
258,MUDKIP,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
259,MARSHTOMP,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
260,SWAMPERT,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
267,BEAUTIFLY,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
269,DUSTOX,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
272,LUDICOLO,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
275,SHIFTRY,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
281,KIRLIA,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
282,GARDEVOIR,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
283,SURSKIT,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
284,MASQUERAIN,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
286,BRELOOM,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
288,VIGOROTH,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
289,SLAKING,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
291,NINJASK,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
292,SHEDINJA,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
295,EXPLOUD,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
298,AZURILL,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
301,DELCATTY,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
306,AGGRON,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
307,MEDITITE,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
308,MEDICHAM,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
315,ROSELIA,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
317,SWALOT,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
323,CAMERUPT,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
326,GRUMPIG,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
329,VIBRAVA,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
330,FLYGON,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
332,CACTURNE,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
335,ZANGOOSE,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
337,LUNATONE,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
342,CRAWDAUNT,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
345,LILEEP,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
346,CRADILY,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
347,ANORITH,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
348,ARMALDO,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
350,MILOTIC,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
351,CASTFORM,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
356,DUSCLOPS,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
362,GLALIE,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
364,SEALEO,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
365,WALREIN,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
367,HUNTAIL,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
368,GOREBYSS,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
372,SHELGON,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
373,SALAMENCE,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
374,BELDUM,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
375,METANG,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
376,METAGROSS,no ordinary wild encounter in Emerald; evolution/gift/trade/version-exclusive not added
377,REGIROCK,legendary/mythical; unchanged
378,REGICE,legendary/mythical; unchanged
379,REGISTEEL,legendary/mythical; unchanged
380,LATIAS,legendary/mythical; unchanged
381,LATIOS,legendary/mythical; unchanged
382,KYOGRE,legendary/mythical; unchanged
383,GROUDON,legendary/mythical; unchanged
384,RAYQUAZA,legendary/mythical; unchanged
385,JIRACHI,legendary/mythical; unchanged
386,DEOXYS,legendary/mythical; unchanged
